Năm Dữ Liệu (Year),Miền (Region),Vùng Kinh Tế (Zone),Tỉnh/Thành Phố (City),Mức Giá (Price),Diện Tích (Area),Địa Chỉ Chi Tiết (Address)
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.86 tỷ,35m²,"Đường Tân Thới Hiệp 7, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.13 tỷ,56m²,"Dự án KDC Hưng Phú, 22/25 Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,48 triệu/m²,200m²,"Dự án Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.77 tỷ,96m²,"Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.18 tỷ,69m²,"Dự án Him Lam Phú An, Đường Thủy Lợi, Phường Phước Long A, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.14 tỷ,42m²,"87/89/3, Đường Nguyễn Sỹ Sách, Phường 15, Tân Bình, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,69.0 tỷ,1416m²,"Đường Đại Lộ Bình Dương, Phường Thuận Giao, Thuận An, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.48 tỷ,70m²,"Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.53 tỷ,987m²,"Đường Vườn Thơm, Xã Bình Lợi, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1127 triệu,73m²,"Đường Quang Trung, Phường Chánh Lộ, Quảng Ngãi, Quảng Ngãi"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,667 triệu,100m²,"Đường Bàu Cạn, Thị trấn Long Thành, Long Thành, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.38 tỷ,140m²,"Phố Bà Triệu, Phường Hóc Môn, Hóc Môn, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.86 tỷ,86m²,"Dự án Garden Gate, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.64 tỷ,Không xác định,"Dự án Masteri Millennium, Đường Bến Vân Đồn, Phường 6, Quận 4, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.76 tỷ,45m²,"Dự án Vista Verde, Đường Đồng Văn Cống, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,14.37 tỷ,1063m²,"Phường Long Phước, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,9.08 tỷ,59.7m²,"Đường Nguyễn Thái Sơn, Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,632 triệu,100m²,"Dự án Rich Home Bàu Bàng, Xã Lai Uyên, Bàu Bàng, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.83 tỷ,84m²,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.49 tỷ,52m²,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.78 tỷ,62m²,"Dự án Sky 9, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.71 tỷ,100m²,"Dự án The Estella, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.43 tỷ,67.2m²,"136/12, Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,15 triệu/m²,175m²,"Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.15 tỷ,100m²,"Đường Nguyễn Thị Lắng, Xã Phước Vĩnh An, Củ Chi, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.99 tỷ,89m²,"Dự án The Era Town, Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.66 tỷ,65m²,"Dự án The Tresor, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.29 tỷ,80m²,"Dự án Xi Grand Court, Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.72 tỷ,68m²,"Dự án Green Park Bình Tân, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,11 triá»‡u/mÂ²,90mÂ²,"Dá»± Ã¡n Airport New Center, Long ThÃ nh, Ä�á»“ng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.25 tỷ,92m²,"Dự án Saigon Pearl, 90 Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,Không xác định,"Dự án Estella Heights, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.01 tỷ,52m²,"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.12 tỷ,90m²,"Dự án The Sun Avenue, 28 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Phước,575 triệu,125m²,"Đường Trần Quốc Toản, Thị trấn Chơn Thành, Chơn Thành, Bình Phước"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.82 tỷ,72m²,"Dự án Thanh Đa View, 308 lô S Đường Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,62.1 tỷ,640m²,"Dự án Saigon Mystery Villas, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,690 triệu,114m²,"Đường Trần Văn Giàu, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,24.15 tỷ,75.25m²,"Đường Lê Văn Sỹ, Quận 3, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,1.38 tỷ,78m²,"Dự án Baria Residence, Đường Hùng Vương, Phường Long Tâm, Bà Rịa, Bà Rịa Vũng Tàu"
2024,Miền Nam,Đông Nam Bộ,Bình Phước,951.05,90mÂ²,"Dá»± Ã¡n KÄ�T CÃ¡t TÆ°á»�ng PhÃº HÆ°ng, Ä�Æ°á»�ng Quá»‘c lá»™ 14, XÃ£ Tiáº¿n HÆ°ng, Ä�á»“ng XoÃ i, Bình Phước"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,802 triệu,100m²,"Dự án Mega City 2, Nhơn Trạch, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,29 triệu/m²,Không xác định,"Dự án Opal Boulevard, Đường Phạm Văn Đồng, Phường Bình An, Dĩ An, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,80m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,690.0,130mÂ²,"Ä�Æ°á»�ng Tráº§n VÄƒn GiÃ u, BÃ¬nh TÃ¢n, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.07 tỷ,85m²,"Dự án Jamona City, Đường D4, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,85 triệu/m²,114.8m²,"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,874 triệu,125m²,"Đường Tỉnh Lộ 10, Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,19.55 tỷ,101m²,"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,13.22 tỷ,90m²,"Đường 25, Phường 10, Quận 6, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,828 triệu,35.02m²,"Dự án Bcons Suối Tiên, Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.93 tỷ,100m²,"Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.17 tỷ,105m²,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Phước,286 triệu,125m²,"Đường Trần Quốc Toản, Thị trấn Chơn Thành, Chơn Thành, Bình Phước"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,9 triệu/m²,100m²,"Dự án Biên Hòa New City, Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.75 tỷ,56m²,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.42 tỷ,97m²,"Dự án The Era Town, Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.5 triệu/m²,100m²,"Đường Lý Nam Đế, Xã Nam Tiến, Phổ Yên, Thái Nguyên"
2024,Miền Nam,Đông Nam Bộ,Bình Phước,504 triệu,300m²,"Đường Nguyễn Văn Linh, Thị trấn Tân phú, Đồng Phú, Bình Phước"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.47 tỷ,Không xác định,"Đường Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.2 tỷ,72m²,"Đường 46, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,782 triệu,120m²,"Đường Trần Văn Giàu, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.4 tỷ,74.8m²,"Dự án Masteri Millennium, 132 Đường Bến Vân Đồn, Phường 6, Quận 4, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,65 triá»‡u/mÂ²,71mÂ²,"Dá»± Ã¡n Paris HoÃ ng Kim, Phá»‘ LÆ°Æ¡ng Ä�á»‹nh Cá»§a, PhÆ°á»�ng BÃ¬nh KhÃ¡nh, Quáº­n 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.28 tỷ,Không xác định,"Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.38 tỷ,52m²,"Dự án Lotus Apartment, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,575 triệu,90m²,"Đường Quốc Lộ 22, Củ Chi, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,1.55 tỷ,72m²,"Đường Nguyễn Thị Minh Khai, Phường Phú Hòa, Thủ Dầu Một, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,2.76 tỷ,240m²,"Đường 5A, Phường Trảng Dài, Biên Hòa, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,8 triệu/m²,95m²,"Dự án Long Tân City, Đường 25C, Xã Long Tân, Nhơn Trạch, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.75 tỷ,103m²,"Đường Nguyễn Thị Tú, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,29.9 tỷ,192.5m²,"Đường Phan Văn Trị, Phường 7, Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.67 tỷ,90m²,"Đường Võ Văn Bích, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,13 triệu/m²,4371m²,"Khu dân cư 54, Đường Võ Thị Hồi, Xã Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.9 tỷ,72m²,"Dự án City Gate Towers 2, Quận 8, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.53 tỷ,30m²,"Dự án Masteri Millennium, Đường Bến Vân Đồn, Phường 6, Quận 4, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.73 tỷ,65m²,"Dự án RichStar, Tân Phú, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.85 tỷ,75m²,"Dự án Flora Novia, Đường Phạm Văn Đồng, Phường Linh Tây, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.88 tỷ,120m²,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.21 tỷ,50m²,"Phố 59, Phường 14, Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,1092 triệu,100m²,"Đường Tỉnh lộ 44A, Bà Rịa, Bà Rịa Vũng Tàu"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.84 tỷ,50m²,"Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.85 tỷ,132m²,"Dự án La Astoria, Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.72 tỷ,75m²,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.18 tỷ,67m²,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.37 tỷ,83m²,"Dự án Vinhomes Central Park, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.76 tỷ,75m²,"Dự án Đạt Gia Residence, Đường Cây Keo, Phường Tam Phú, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.59 tỷ,68.88m²,"Dự án The Art, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,770 triệu,100m²,"Đường ĐT 749C, Xã Lai Uyên, Bàu Bàng, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,10.12 tỷ,240m²,"Đường Lê Thị Hoa, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.27 tỷ,85.71m²,"Dự án Topaz Elite, Phố Tạ Quang Bửu, Phường 4, Quận 8, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.1 tỷ,100m²,"Dự án Việt Phú Garden, Đường Trịnh Quang Nghị, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.02 tỷ,49m²,"Dự án Newton Residence, 38 Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.26 tỷ,146.6m²,"Đường 626, Xã Phước Hiệp, Củ Chi, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1035 triệu,126m²,"Đường Trần Văn Giàu, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,1.32 tỷ,100m²,"Long Thành, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,60 triá»‡u/mÂ²,78mÂ²,"Dá»± Ã¡n Premier Sky Residences, Ä�Æ°á»�ng VÃµ NguyÃªn GiÃ¡p, SÆ¡n TrÃ , Ä�Ã  Náºµng"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,66m²,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,10.7 tỷ,80m²,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.99 tỷ,100m²,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.76 tỷ,36m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,36 triệu/m²,60m²,"Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,1058 triệu,100m²,"Dự án New Times City, Xã Hội Nghĩa, Tân Uyên, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.13 tỷ,67m²,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,30.47 tỷ,312m²,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.26 tỷ,55m²,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.25 tỷ,82.82m²,"Dự án Feliz En Vista, Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,897 triệu,95m²,"Dự án Thành Phố Mới Bình Dương, Đường Lê Lợi, Phường Phú Mỹ, Thủ Dầu Một, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.44 tỷ,Không xác định,"Đường Thạnh Lộc 14, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,8.74 tỷ,63m²,"Đường Lạc Long Quân, Phường 11, Tân Bình, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,230.0 tỷ,350m²,"Đường Lý Tự Trọng, Phường Đa Kao, Quận 1, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,Thỏa thuận,70m²,"Đường ĐT 746, Xã Khánh Bình, Tân Uyên, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,6.67 tỷ,160m²,"Dự án Aqua City, Xã Long Hưng, Biên Hòa, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.61 tỷ,100m²,"Dự án Gia Hòa, Phường Phước Long B, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,805 triệu,36m²,"Đường Quốc Lộ 50, Xã Đa Phước, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,36 triệu/m²,106m²,"Dự án Docklands Sài Gòn, Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.61 tỷ,58m²,"Dự án 9 View Apartment, Đường Tăng Nhơn Phú, Phường Phước Long B, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,111 triệu/m²,180m²,"Dự án Saigon Mystery Villas, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,65 triệu/m²,160m²,"Dự án Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.21 tỷ,60m²,"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,1.78 tỷ,48.94m²,"Dự án Vũng Tàu Melody, Đường Hoàng Hoa Thám, Phường Thắng Tam, Vũng Tàu, Bà Rịa Vũng Tàu"
2024,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,3 triệu/m²,147m²,"Đường Quốc Lộ 51, Xã Phước Hòa, Phú Mỹ, Bà Rịa Vũng Tàu"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.01 tỷ,60m²,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,12 triệu/m²,300m²,"Dự án Biên Hòa New City, Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,Đồng Nai,1.49 tỷ,100m²,"Dự án Biên Hòa New City, Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,161.0 tỷ,148.4m²,"Đường Trương Định, Phường 6, Quận 3, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,517 triệu,100m²,"Đường ĐT 749C, Xã Lai Uyên, Bàu Bàng, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.15 tỷ,52.5m²,"Đường Quốc Lộ 50, Xã Quy Đức, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.48 tỷ,Không xác định,"Dự án Rome Diamond Lotus, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.01 tỷ,68m²,"Dự án Lavita Charm, Đường 1, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.63 tỷ,76m²,"Dự án The Sun Avenue, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,29.9 tỷ,184m²,"Đường 42, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,8.97 tỷ,75m²,"Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.95 tỷ,60m²,"Dự án Topaz Elite, Phố Tạ Quang Bửu, Phường 4, Quận 8, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.49 tỷ,65m²,"Dự án Moonlight Residences,102  Đường Đặng Văn Bi, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.07 tỷ,60m²,"Dự án KDC Long Phước, Đường Long Thuận, Phường Long Phước, Quận 9, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,21 triệu/m²,Không xác định,"Dự án City Gate Towers 2, Quận 8, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,517 triệu,100m²,"Đường 92, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.77 tỷ,62m²,"Dự án EHome 3, Đường Hồ Học Lãm, Phường An Lạc, Bình Tân, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.88 tỷ,65m²,"Đường Tân Chánh Hiệp 36, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.06 tỷ,72m²,"Dự án Kingdom 101, Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,563 triệu,100m²,"Thủ Dầu Một, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,Bình Dương,2.23 tỷ,64m²,"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,690 triệu,130m²,"Đường Trần Văn Giàu, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh"
2024,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1109 triệu,41m²,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
